Name	Set	ImageFile	Type	Clan	Group	Capacity	Discipline	PoolCost	BloodCost	Text	Rarity
Josette	HttB	josetteg6,cardbackcrypt	Vampire	Samedi	6	8	pot pre FOR OBF THN			Independent: Josette can steal a vampire in torpor as a (D) action that costs 2 blood (the stolen vampire stays in torpor).	HttB:U/A2
Joshua Tarnopolski	BSC	joshuatarnopolskig3,cardbackcrypt	Vampire	Brujah	3	7	obf pot CEL PRE			Camarilla: Allies and retainers cost Joshua 1 less pool or blood to recruit or employ. He gets +2 strength in combat with a Sabbat vampire.	CE:V, BSC:X
Jost Werner	BH	jostwernerg2,cardbackcrypt	Vampire	Toreador antitribu	2	6	ani AUS PRE			Sabbat: +1 stealth.	Sabbat:V, SW:U, BH:PTo
Jozz	HttB	jozzg6,cardbackcrypt	Vampire	Nagaraja	6	2	nec			Independent: Jozz can enter combat with a vampire no more than twice his capacity or with an ally as a (D) action. Scarce.	HttB:U/A2
Juan Cali	SW	juancalig2,cardbackcrypt	Vampire	Ventrue antitribu	2	3	aus for			Sabbat.	Sabbat:V, SW:U/PV
Juanita Santiago	BL	juanitasantiagog2,cardbackcrypt	Vampire	Ahrimane	2	4	ani pre spi			Sabbat: Sterile.	BL:U2
Jubal	LoB	jubalg4,cardbackcrypt	Vampire	Akunanse	4	6	for pot ABO ANI			Laibon: Jubal gets +1 intercept when attempting to block a Ministry.	LoB:U
Judah	CE	judahg2,cardbackcrypt	Vampire	Nosferatu	2	6	ani dom POT			Camarilla primogen.	AH:V3, CE:PN
Juggler	KMW	jugglerg3,cardbackcrypt	Vampire	Brujah	3	7	obf pot CEL DOM			Camarilla: Once each combat, if the range is long, Juggler may burn 1 blood to strike: dodge and gain an additional strike (limited). Once each combat, Juggler can burn 1 blood to get a maneuver.	Anarchs:U2, KMW:PAl
Julia Prima	BL	juliaprimag2,cardbackcrypt	Vampire	Kiasyd	2	7	aus myt DOM OBT			Sabbat: Julia can bleed any Methuselah as a (D) action. Once each action, Julia can burn 1 blood to get +1 bleed.	BL:U2
Julian Sanders	FN	juliansandersg2,cardbackcrypt	Vampire	Brujah antitribu	2	6	pot CEL PRE			Sabbat: Julian gets one optional press each combat.	FN:U2
Julio Martinez	BSC	juliomartinezg3,cardbackcrypt	Vampire	Nosferatu antitribu	3	9	nec ANI DOM OBF POT			Sabbat bishop: +1 strength. Julio may burn a blood to get +1 intercept when attempting to block a Camarilla vampire.	CE:V, BSC:X
Julius	Tenth	juliusg2,cardbackcrypt	Vampire	Caitiff	2	1	qui ser			Camarilla: If Julius goes into torpor, burn him.	AH:V3, Tenth:B
Juniper	TR	juniperg4,cardbackcrypt	Vampire	Ventrue	4	6	ani dom pre FOR			Camarilla: Juniper may steal an ally controlled by your predator or prey as a +1 stealth (D) action.	TR:U
Justine Chen, Innocent	SP	justinecheninnocentg4,cardbackcrypt	Vampire	Toreador antitribu	4	2	pre			Sabbat.	Third:V, SP:LB1
Justine, Elder of Dallas	Tenth	justineelderofdallasg1,cardbackcrypt	Vampire	Tremere	1	8	obf AUS DOM THA			Camarilla primogen: Justine does not lock when she successfully blocks a vampire with a capacity below 4.	Jyhad:V, VTES:V, Tenth:B
Kabede Maru	LotN	kabedemarug5,cardbackcrypt	Vampire	Banu Haqim	5	9	abo pot AUS CEL OBF QUI			Laibon magaji: Kabede gets +1 intercept during political actions.	LotN:U, POD:DTC
Kahina the Sorceress	Anarchs	kahinathesorceressg3,cardbackcrypt	Vampire	Ministry	3	9	nec pre AUS DOM OBF SER			Independent. 1 vote (titled): Kahina can call a referendum to inflict 1 damage on each minion who has any of your corruption counters as a +1 stealth political action.	Anarchs:U2, POD:DTC
Kai Simmons	Third	kaisimmonsg4,cardbackcrypt	Vampire	Pander	4	1	cel			Sabbat: Any other Methuselah's titled Sabbat vampire may call a referendum to steal Kai for him or her as a +1 stealth political action.	Third:V
Kalila	KoT	kalilag5,cardbackcrypt	Vampire	Malkavian	5	3	aus obf			Camarilla: Kalila gets +1 stealth on (D) actions against a location.	KoT:V/A1
Kalinda	FN	kalindag2,cardbackcrypt	Vampire	Banu Haqim	2	6	tha CEL OBF			Independent: Kalinda can bleed with +1 bleed as a +1 stealth (D) action that costs 2 blood. Blood cursed.	AH:V3, FN:PA, POD:DTC
Kalinda (G6)	V5A	kalindag6,cardbackcrypt	Vampire	Banu Haqim	6	6	tha CEL OBF			Camarilla primogen: During your turn, you can burn the Edge to unlock Kalinda.	V5A:PBh1
Kallista, Master Sculptor	Tenth	kallistamastersculptorg1,cardbackcrypt	Vampire	Toreador	1	6	pre pro AUS CEL			Camarilla.	Jyhad:V, VTES:V, Tenth:A
Kamaria	LoB	kamariag4,cardbackcrypt	Vampire	Osebo	4	3	aus pot			Laibon.	LoB:U
Kamau Jafari	LoB	kamaujafarig4,cardbackcrypt	Vampire	Banu Haqim	4	4	obf QUI			Laibon.	LoB:U, POD:DTC
Kamile Paukstys	V5A	kamilepaukstysg6,cardbackcrypt	Vampire	Gangrel	6	5	ani for PRO			Anarch: +1 bleed.	V5A:PG1
Kamiri wa Itherero	LoB	kamiriwaithererog4,cardbackcrypt	Vampire	Akunanse	4	10	pot qui ABO ANI FOR OBF			Laibon: Younger vampires must burn 1 blood to attempt to block Kamiri. If an ally blocks Kamiri and combat occurs, burn the ally at the end of the action.	LoB:PA2
Kamiri wa Itherero (ADV)	EK	kamiriwaithererog4adv,cardbackcrypt	Vampire	Akunanse	4	10	pot qui ABO ANI FOR OBF			Advanced, Laibon: Kamiri can inflict 2 unpreventable damage on a minion as a (D) action. [MERGED] Once each action, Kamiri may burn 1 blood to give an acting Laibon +1 stealth.	EK:U
Kanimana Belghazi	BL	kanimanabelghazig2,cardbackcrypt	Vampire	Nagaraja	2	7	pro AUS DOM NEC			Independent: Kanimana may put a research counter on herself as a +1 stealth action that costs 1 blood. While she is ready, your hand size is +X, where X is the number of research counters on her. Scarce.	BL:R2
Kanya Akhtar	FN	kanyaakhtarg2,cardbackcrypt	Vampire	Banu Haqim	2	2	cel			Independent: Blood cursed.	AH:V3, FN:PA, POD:DTC
Karen Suadela	KoT	karensuadelag5,cardbackcrypt	Vampire	Brujah	5	7	obf pre CEL POT			Camarilla Prince of Houston: While Karen is a prince, Gehenna events do not affect her. She gets +1 stealth on undirected actions.	KoT:V/A2
Karif al Numair	Anthology	karifalnumairg5,cardbackcrypt	Vampire	Banu Haqim	5	10	for AUS CEL OBF QUI			Sabbat: During your turn, you can lock or unlock another ready Black Hand vampire. Black Hand. +1 bleed. +1 strength.	DM:C/2, Anthology:1, POD:DTC
Karl	BL	karlg2,cardbackcrypt	Vampire	Blood Brother	2	6	pre san FOR POT			Sabbat. Torrance Circle: Sterile.	BL:U1
Karl Schrekt	Promo	karlschrektg6,cardbackcrypt	Vampire	Tremere	6	10	AUS DOM FOR PRE THA			Camarilla. 2 votes (titled): Karl can play cards requiring a justicar as if he were a justicar. +1 intercept.	Promo-20211015
Karmenita Yoryari	TU	karmenitayoryarig6,cardbackcrypt	Vampire	Ravnos	6	9	ANI CHI DEM FOR			Sabbat Archbishop of Lisbon: Karmenita can burn an equipment or a location as a (D) action that costs 1 blood.	TU:C/A2
Karsh	Anarchs	karshg3,cardbackcrypt	Vampire	Gangrel	3	10	ANI CEL FOR POT PRO			Camarilla: Karsh may enter combat with a locked non-Camarilla vampire controlled by another Methuselah as a (D) action. Once each round, he can burn 1 blood to treat aggravated damage as normal damage for the current round.	Anarchs:U2
Karsh (ADV)	Promo	karshg3adv,cardbackcrypt	Vampire	Gangrel	3	10	ANI CEL FOR POT PRO			Camarilla: Karsh can play cards named Blood Hunt from your hand or ash heap as a prince. He gets +3 votes in blood hunt referendums. He cannot block infernal vampires. [MERGED] Imperator (3 votes): +1 intercept.	Promo-20100510, Promo-20190408
Kashan	LotN	kashang4,cardbackcrypt	Vampire	Banu Haqim	4	7	obt pre CEL OBF QUI			Independent. 1 vote (titled): Blood cursed.	LotN:PA2, POD:DTC
Kasim Bayar	V5A	kasimbayarg6,cardbackcrypt	Vampire	Banu Haqim	6	9	aus pot CEL OBF THA			Camarilla Banu Haqim Justicar: Once each combat, Kasim can discard a political action card before range is determined to get +2 strength that combat. +1 bleed.	V5A:PBh1
Kassandra Tassaki	V5A	kassandratassakig6,cardbackcrypt	Vampire	Banu Haqim	6	6	obf CEL THA			Camarilla Prince of Thessaloniki.	V5A:PBh2
Kassiym Malikhair	BL	kassiymmalikhairg2,cardbackcrypt	Vampire	Kiasyd	2	6	dom for MYT OBT			Sabbat: During your unlock phase, you can move 1 blood from Kassiym to any ready Pander.	BL:U2
Katarina	Anarchs	katarinag2,cardbackcrypt	Vampire	Gangrel	2	9	pot pro ANI FOR			Camarilla Prince of Glasgow: Katarina gets +1 bleed when bleeding a Methuselah who controls a ready Ravnos.	DS:V, Anarchs:PG
Katarina Kornfeld	BSC	katarinakornfeldg3,cardbackcrypt	Vampire	Ventrue	3	8	ani DOM FOR PRE			Camarilla primogen: If another ready vampire you control is a prince, Katarina gets +1 stealth.	CE:V, BSC:X
Kateline Nadasdy	FB	katelinenadasdyg4,cardbackcrypt	Vampire	Toreador	4	7	AUS CEL PRE			Camarilla: During the polling step of a political action, Kateline can burn 1 blood to force a non-acting vampire to abstain.	KoT:PT2/B1, FB:PTo1
Katherine Stoddard	BH	katherinestoddardg3,cardbackcrypt	Vampire	Ventrue antitribu	3	4	dom for			Sabbat. Black Hand: Once during your turn, if Katherine is ready, you may discard a card that requires Auspex [aus] from your hand. Draw back up to your hand size afterward.	BH:U2
Kathy Glens	V5	kathyglensg6,cardbackcrypt	Vampire	Toreador	6	5	aus cel tha PRE			Camarilla.	V5:PTo1
Kay Polerno	LotN	kaypolernog5,cardbackcrypt	Vampire	Giovanni	5	4	dom nec pro			Independent.	LotN:U, POD:DTC
Kazimir Savostin	BH	kazimirsavosting3,cardbackcrypt	Vampire	Tzimisce	3	7	ani pot AUS VIC			Sabbat. Black Hand Seraph: If Kazimir blocks an action, he gets an optional press in the resulting combat.	BH:U2
Keith Moody	SP	keithmoodyg4,cardbackcrypt	Vampire	Tremere antitribu	4	3	DOM			Sabbat: Your prey can burn the Edge during your unlock phase to burn 1 blood from Keith.	Third:V, SP:PwN1
Keller Thiel	KoT	kellerthielg5,cardbackcrypt	Vampire	Malkavian	5	4	aus dem			Camarilla: If Keller is ready and unlocked, minions burn 1 blood or life after bleeding you successfully.	KoT:V/A1
Kemintiri	FN	kemintirig2,cardbackcrypt	Vampire	Ministry	2	10	aus dom OBF PRE SER THA			Independent: Kemintiri gets +1 bleed and +1 stealth when bleeding a Methuselah who controls a Ventrue. Any Ventrue can enter combat with her as a (D) action. She can enter combat with a Ventrue as a +1 stealth (D) action.	AH:V3, FN:PS, POD:DTC
Kemintiri (ADV)	KMW	kemintirig2adv,cardbackcrypt	Vampire	Ministry	2	10	aus dom OBF PRE SER THA			Independent: Red List. +1 stealth. [MERGED] 3 votes (titled): Kemintiri can play minion cards requiring a Camarilla vampire, a Ventrue, andor a justicar title as if she met thatthose requirement(s).	KMW:U, POD:DTC
Kendrick	BH	kendrickg2,cardbackcrypt	Vampire	Nosferatu antitribu	2	7	aus obf ANI POT			Sabbat priscus: If Kendrick is ready during your master phase, you may look at a card at random from your prey's hand. If it is a political action card, your prey discards it.	Sabbat:V, BH:PN
Kenyatta	LoB	kenyattag4,cardbackcrypt	Vampire	Ishtarri	4	4	cel for pre			Laibon.	LoB:PI2
Kephamos, High Priest of Marrakech	FN	kephamoshighpriestofmarrakechg2,cardbackcrypt	Vampire	Ministry	2	8	dom obf pre SER			Independent. 2 votes (titled): +1 bleed.	AH:V3, FN:PS, POD:DTC
Kervos, The Lieutenant	BL	kervosthelieutenantg2,cardbackcrypt	Vampire	Salubri antitribu	2	3	aus val			Sabbat.	BL:U2
Kestrelle Hayes	SoC	kestrellehayesg5,cardbackcrypt	Vampire	Ventrue antitribu	5	6	dom for obt AUS			Sabbat. Black Hand: Kestrelle gets +1 stealth on (D) actions directed at a Methuselah who doesn't control a ready Sabbat vampire.	Promo-20070101, SoC:V
Kevin Jackson	NB	kevinjacksong7,cardbackcrypt	Vampire	Ventrue	7	7	DOM FOR PRE			Camarilla Prince of Chicago: Kevin gets +1 strength in combat with a Brujah. Brujah get +1 strength in combat with him.	NB:PV1
Khadija Al-Kindi	V5A	khadijaalkindig6,cardbackcrypt	Vampire	Banu Haqim	6	6	CEL OBF THA			Camarilla primogen.	V5A:PBh1
Khalid	BSC	khalidg3,cardbackcrypt	Vampire	Nosferatu	3	9	tha ANI AUS OBF POT			Camarilla primogen: During your master phase, if Khalid is ready, you may use a master phase action and discard a card that requires Obfuscate [obf] from your hand to gain a pool.	CE:V/PN, BSC:X
Khalil Anvari	FN	khalilanvarig2,cardbackcrypt	Vampire	Ministry	2	3	pre ser			Independent.	AH:V3, FN:PS, POD:DTC
Khalil Ravana	FN	khalilravanag2,cardbackcrypt	Vampire	Ravnos	2	5	ani for pre CHI			Independent: Khalil gets +1 stealth during diablerie actions.	FN:PR, POD:DTC
Khalu	LoB	khalug3,cardbackcrypt	Vampire	Osebo	3	7	ani pro AUS CEL POT			Laibon: Khalu may burn 5 blood to cancel a minion card played by your predator or prey as it is played (no cost is paid).	LoB:PO2
Khay'tall, Snake of Eden	FN	khaytallsnakeofedeng2,cardbackcrypt	Vampire	Ministry	2	9	aus DOM OBF PRE SER			Independent: Kay'tall gets +1 stealth during political actions. Vampires with any corruption counters cannot cast votes or ballots against referendums called by Khay'tall.	FN:U2, POD:DTC
Khurshid	LK	khurshidg6,cardbackcrypt	Vampire	Harbinger of Skulls	6	8	AUS FOR NEC POT			Sabbat: +2 strength.	LK:3
Kij Dansky	BH	kijdanskyg2,cardbackcrypt	Vampire	Tremere antitribu	2	8	obt AUS DOM THA			Sabbat priscus.	Sabbat:V, BH:PTr
Kikiyaon, The	LoB	kikiyaontheg4,cardbackcrypt	Vampire	Akunanse	4	5	abo ani FOR			Laibon: Once each combat, The Kikiyaon may burn a blood to get a maneuver. Flight [FLIGHT].	LoB:U
Kiradin	LotN	kirading4,cardbackcrypt	Vampire	Ravnos	4	8	ani pot CHI DEM FOR			Independent: Once each round, Kiradin can burn 1 blood to get 1 additional strike (limited).	LotN:PR2, POD:DTC
Kisha Bhimji	Promo	kishabhimjig3,cardbackcrypt	Vampire	Osebo	3	5	cel obf pot AUS			Laibon magaji: Kisha gets -1 stealth on non-hunt actions.	Promo-20061026
Kite	BH	kiteg2,cardbackcrypt	Vampire	Malkavian antitribu	2	7	obf pre AUS DEM			Sabbat bishop: +1 intercept.	SW:C, BH:PM
Klaus Konrecht	SP	klauskonrechtg4,cardbackcrypt	Vampire	Toreador antitribu	4	8	for pot AUS CEL PRE			Sabbat cardinal.	Third:V, SP:LB3
Klaus van der Veken	CE	klausvandervekeng2,cardbackcrypt	Vampire	Toreador	2	9	aus obf tha CEL PRE			Camarilla Prince of Amsterdam: Klaus may cancel the effects of one of your prey's hunting grounds.	DS:V, CE:PTo
KoKo	Tenth	kokog1,cardbackcrypt	Vampire	Nosferatu	1	2	pot			Camarilla.	Jyhad:V, VTES:V, Tenth:A
Konrad Fleischer	Third	konradfleischerg4,cardbackcrypt	Vampire	Ventrue antitribu	4	9	tha ANI AUS DOM FOR			Sabbat: Once each round, Konrad may treat 1 aggravated damage as normal. He gets an optional press each combat.	Third:V
Korah	BH	korahg2,cardbackcrypt	Vampire	Malkavian antitribu	2	7	ani AUS DEM OBF			Sabbat priscus.	Sabbat:V, SW:U, BH:PM
Kostantin, Baro of the Caravan	FN	kostantinbaroofthecaravang2,cardbackcrypt	Vampire	Ravnos	2	9	cel dom ANI CHI FOR			Independent: Kostantin can steal an equipment as a +1 stealth (D) action.	DS:V, FN:PR, POD:DTC
Krassimir	BL	krassimirg2,cardbackcrypt	Vampire	True Brujah	2	7	dom nec pre POT TEM			Independent: Once each turn, when blocked, Krassimir can unlock and cancel the current action and combat (do not lock the blocking minion). Krassimir cannot use cards that require Celerity [cel]. Scarce.	BL:R2
Krid	BSC	kridg3,cardbackcrypt	Vampire	Nosferatu	3	2	obf			Camarilla.	CE:V, BSC:X
Kurt Densch	BSC	kurtdenschg3,cardbackcrypt	Vampire	Nosferatu	3	8	ani aus cel OBF POT			Camarilla: During your unlock phase, you may look at the top card of your library, and Kurt may burn 1 blood to move that card to the bottom of your library. +1 intercept.	CE:V, Anarchs:PAB, BSC:X
Kurt Strauss	BH	kurtstraussg2,cardbackcrypt	Vampire	Tremere antitribu	2	5	aus tha DOM			Sabbat.	Sabbat:V, BH:PTr
Kuyen	Promo	kuyeng6,cardbackcrypt	Vampire	Gangrel	6	6	ANI PRO			Anarch Baron of Santiago: Animals (allies and retainers) cost Kuyen 1 fewer blood or pool.	Promo-20211113
Kyle Strathcona, Cardinal of Canada	SW	kylestrathconacardinalofcanadag2,cardbackcrypt	Vampire	Ventrue antitribu	2	9	for AUS DOM POT PRE			Sabbat cardinal: During your unlock phase, you may move 1 blood from Kyle to any other controlled Sabbat vampire.	SW:PV
Kyoko Shinsegawa	BSC	kyokoshinsegawag3,cardbackcrypt	Vampire	Tremere	3	5	aus cel dom for			Camarilla: Kyoko cannot hunt as normal. She may hunt by stealing a blood from another ready vampire as a +1 stealth (D) action.	CE:V, BSC:X
Kyrylo	HttB	kyrylog5,cardbackcrypt	Vampire	Blood Brother	5	4	for SAN			Sabbat: Kiev circle. Sterile.	HttB:U/A2
L'Epuisette	SP	lepuisetteg4,cardbackcrypt	Vampire	Toreador antitribu	4	4	aus cel pro			Sabbat: L'Epuisette gets +1 bleed against a Methuselah who controls a ready Toreador.	KMW:U, SP:LB1
La Viuda Blanca	HttB	laviudablancag6,cardbackcrypt	Vampire	Harbinger of Skulls	6	6	for obf AUS NEC			Sabbat: La Viuda can draw up to 2 cards as a +1 stealth action (discard down afterward).	HttB:U/A2
Lachlan, Noddist	BH	lachlannoddistg2,cardbackcrypt	Vampire	Toreador antitribu	2	8	dom AUS CEL PRE			Sabbat Archbishop of Chicago.	Sabbat:V, BH:PTo
Ladislas Toth, The Torch	Third	ladislastoththetorchg3,cardbackcrypt	Vampire	Tremere antitribu	3	7	for AUS DOM THA			Sabbat Archbishop of Frankfurt.	Gehenna:U, Third:PTr
Lady Constancia	LotN	ladyconstanciag4,cardbackcrypt	Vampire	Giovanni	4	10	AUS DOM FOR NEC POT			Independent. 2 votes (titled): You can burn the Edge and use a discard phase action to discard 1 card at random and draw its replacement from the other library cards in your ash heap.	LotN:PG2, POD:DTC
Lady Scarlett Churchill	FoL	ladyscarlettchurchillg6,cardbackcrypt	Vampire	Ventrue	6	5	dom for PRE			Camarilla: You and Lady Scarlett can play cards requiring a Toreador as if she were a Toreador.	FoL:2
Lady Vadislava	SP	ladyvadislavag5,cardbackcrypt	Vampire	Tzimisce	5	9	nec ANI AUS DOM VIC			Sabbat priscus: Once each round, Lady Vadislava can burn 1 blood to make the damage from her hand strikes aggravated that round.	SP:DoF2
Lady Zara Slatikov	Third	ladyzaraslatikovg4,cardbackcrypt	Vampire	Tzimisce	4	8	ANI AUS OBF VIC			Sabbat bishop: Zara gets an optional press each combat. She may enter combat with a ready Baali as a (D) action.	Third:PTz2/SKTz1
Laecanus	TR	laecanusg4,cardbackcrypt	Vampire	Toreador	4	5	obt pre CEL			Camarilla: Once each combat, Laecanus can press to end combat. Frenzy cards cannot be played on him.	TR:U
Laika	Third	laikag4,cardbackcrypt	Vampire	Tzimisce	4	7	chi obf vic ANI AUS			Sabbat: Laika may burn 1 blood to strike for 2R damage.	Third:PTz2/SKTz1
Lailah	LK	lailahg6,cardbackcrypt	Vampire	Salubri antitribu	6	4	aus VAL			Sabbat.	LK:2
Lalitha	FN	lalithag2,cardbackcrypt	Vampire	Ministry	2	2	ser			Independent.	AH:V3, FN:PS, POD:DTC
Lambach	SW	lambachg2,cardbackcrypt	Vampire	Tzimisce	2	10	pre ANI AUS DOM VIC			Sabbat cardinal: Once each combat, Lambach may burn 1 blood to make the damage from his hand strikes aggravated for the current round. +1 strength.	Sabbat:V, SW:U/PT
Lambach (ADV)	Promo	lambachg2adv,cardbackcrypt	Vampire	Tzimisce	2	10	pre ANI AUS DOM VIC			Advanced, Independent: Lambach has 2 votes (titled). He can equip with an Eye of Hazimel at no cost from your library as a +1 stealth action (shuffle afterward). [MERGED] He unlocks when he successfully performs an action to put a vampire in play.	Promo-20030901
Lana Butcher	BSC	lanabutcherg3,cardbackcrypt	Vampire	Ventrue	3	3	dom for			Camarilla.	CE:V, BSC:X
Langa	HttB	langag4,cardbackcrypt	Vampire	Salubri antitribu	4	5	for VAL			Laibon: Langa may enter combat with a vampire controlled by another Methuselah as a (D) action.	LoB:U, HttB:PSal
Larissa Moreira	NB	larissamoreirag6,cardbackcrypt	Vampire	Nosferatu	6	6	pot ANI OBF			Camarilla primogen: During a bleed action, Larissa can discard a card requiring Animalism [ani] to get +1 bleed.	V5:PN2, NB:PN1
Larry	BL	larryg2,cardbackcrypt	Vampire	Blood Brother	2	5	dem for pot SAN			Sabbat. Chicago Circle: Once each action, Larry can burn 1 blood to get +1 intercept. Sterile.	BL:U1
Laszlo Mirac	Third	laszlomiracg4,cardbackcrypt	Vampire	Ventrue antitribu	4	10	cel obf vic AUS DOM FOR			Sabbat bishop: When Laszlo calls a referendum, he may choose a younger vampire. That vampire cannot cast votes or ballots in that referendum. +1 bleed.	Third:V
Laura Goldman	Anthology	lauragoldmang5,cardbackcrypt	Vampire	Brujah	5	3	cel pre			Anarch.	Anthology:LARP1
Lauren	V5	laureng6,cardbackcrypt	Vampire	Tremere	6	4	aus dom tha			Camarilla.	V5:PTr1
Laurent de Valois	CE	laurentdevaloisg2,cardbackcrypt	Vampire	Nosferatu	2	4	ani dom obf			Camarilla.	AH:V3, CE:PN
Layla bint-Nadr	LotN	laylabintnadrg4,cardbackcrypt	Vampire	Banu Haqim	4	5	qui CEL OBF			Independent: Blood cursed.	LotN:PA2, POD:DTC
Lazar Dobrescu	FN	lazardobrescug2,cardbackcrypt	Vampire	Ravnos	2	3	for			Independent: Lazar can move 1 blood from a crypt card in your prey's uncontrolled region to a vampire in your uncontrolled region as a (D) action.	AH:V3, FN:PR, POD:DTC
Lazarus	Tenth	lazarusg1,cardbackcrypt	Vampire	Tremere	1	9	cel pot AUS DOM THA			Camarilla primogen: Lazarus may inflict 1R damage as a strike.	Jyhad:V, VTES:V, Tenth:A
Lazarus (ADV)	Anarchs	lazarusg1adv,cardbackcrypt	Vampire	Tremere	1	9	cel pot AUS DOM THA			Advanced, Camarilla primogen: Lazarus gets one optional maneuver each combat. [MERGED] Once each combat, Lazarus may burn 1 blood to get one press, only usable to continue combat.	Anarchs:U2
Lazarus James	Gehenna	lazarusjamesg4,cardbackcrypt	Vampire	Malkavian	4	8	obf tha AUS DEM PRE			Camarilla: +1 bleed.	Gehenna:U
Lazverinus, Thrall of Lambach	SW	lazverinusthralloflambachg2,cardbackcrypt	Vampire	Ventrue antitribu	2	10	pro AUS DOM FOR POT			Sabbat Archbishop of Houston: +2 strength.	Sabbat:V, SW:U/PV
Le Dinh Tho	BL	ledinhthog2,cardbackcrypt	Vampire	Nagaraja	2	5	aus dom NEC			Independent: Tho may look at another Methuselah's hand and discard one card from it as a +1 stealth (D) action (that Methuselah draws back up to his or her hand size). Tho gets -1 stealth when hunting. Scarce.	BL:R2
Leaf "Potter116" Pankowski	NoR	leafpotter116pankowskig4,cardbackcrypt	Imbued	Redeemer	4	4	inn red viz			During your discard phase, Leaf may lock to gain a conviction [1 CONVICTION] from your library (shuffle afterward), hand or ash heap.	NoR:U
Leandro	CE	leandrog2,cardbackcrypt	Vampire	Malkavian	2	11	cel dom AUS OBF PRE			Camarilla Malkavian Inner Circle: During each other Methuselah's unlock phase, if Leandro is ready, that Methuselah chooses either to burn 1 pool or to lose all transfers during his or her next influence phase. +2 bleed.	DS:V, CE:PM
Lectora	SP	lectorag4,cardbackcrypt	Vampire	Tremere antitribu	4	3	aus tha			Sabbat.	Third:V, SP:PwN1
Legba	TU	legbag6,cardbackcrypt	Vampire	Ministry	6	8	obf PRE SER THA			Sabbat Archbishop of Port-au-Prince: Followers of Set controlled by other Methuselahs cannot cast votes or ballots in referendums called by Legba.	TU:C/B2
Leila Monroe	Third	leilamonroeg4,cardbackcrypt	Vampire	Lasombra	4	4	dom obt pre			Sabbat: Leila can change the sect of an Anarch with no blood to Sabbat as a +1 stealth (D) action.	Third:V, POD:DTC
Len Konopka	Promo	lenkonopkag3,cardbackcrypt	Vampire	Nosferatu antitribu	3	8	dom ser ANI OBF POT			Sabbat: If Len is ready at the start of your influence phase, you get +1 transfer. Black Hand.	Promo-20210701
Lena Rowe	Tenth	lenaroweg2,cardbackcrypt	Vampire	Pander	2	3	aus obf pre			Sabbat: Lena cannot attempt actions that would give her a title and cannot be chosen as the recipient of a title.	Sabbat:V, Tenth:A
Lenny Burkhead	NB	lennyburkheadg6,cardbackcrypt	Vampire	Nosferatu	6	6	obf pot pre ANI			Camarilla primogen: +1 bleed.	V5:PN2, NB:PN1
Leo Washington	Third	leowashingtong4,cardbackcrypt	Vampire	Gangrel antitribu	4	2	cel pro			Sabbat: An older vampire opposing Leo gets an optional maneuver on the first round of combat.	Third:V
Leon	Tenth	leong2,cardbackcrypt	Vampire	Gangrel antitribu	2	3	ani for			Sabbat: Gangrel antitribu get -1 intercept when attempting to block Leon.	Sabbat:V, Tenth:A
Lernean	Third	lerneang4,cardbackcrypt	Vampire	Tremere antitribu	4	10	for pro AUS CEL DOM THA			Sabbat cardinal: Once each round, Lernean may burn 1 blood to get an additional strike (limited).	Third:V
Leumeah	Promo	leumeahg6,cardbackcrypt	Vampire	Brujah	6	6	cel for pot PRE			Anarch Baron of Canberra.	Promo-20191005, Promo-20200511
Lia Milliner	Anarchs	liamillinerg3,cardbackcrypt	Vampire	Giovanni	3	3	dom nec			Independent.	Anarchs:U2, POD:DTC
Lille Haake	BSC	lillehaakeg3,cardbackcrypt	Vampire	Tremere	3	9	nec pre AUS DOM THA			Camarilla primogen: Lille gets +1 bleed when bleeding a Methuselah who controls a ready Sabbat vampire. During your master phase, you may use a master phase action to discard a card from your hand.	CE:V, BSC:X
Lillian	KoT	lilliang5,cardbackcrypt	Vampire	Gangrel	5	3	ani pro			Independent.	KoT:V/A1
Lin Jun	TR	linjung4,cardbackcrypt	Vampire	Toreador	4	4	aus cel pre tha			Camarilla: If Jun is in torpor, vampires with Blood Sorcery [tha] controlled by your predator get +1 bleed.	TR:U
Lindsay Yates	KoT	lindsayyatesg5,cardbackcrypt	Vampire	Toreador	5	5	aus for pre CEL			Camarilla.	KoT:V/B1
Lisa Noble	Anarchs	lisanobleg3,cardbackcrypt	Vampire	Caitiff	3	1	ani			Camarilla: Lisa gets -1 strength on the first round of combat.	Anarchs:U2
Lisandro Giovanni	TU	lisandrogiovannig3,cardbackcrypt	Vampire	Giovanni	3	9	DOM FOR NEC POT THN			Independent: You and Lisandro can play cards requiring a Samedi or a Ventrue antitribu as if he were of that required clan. +1 stealth.	TU:C/B2
Lise	KoT	liseg5,cardbackcrypt	Vampire	Gangrel	5	6	pot pro ANI FOR			Independent.	KoT:V/A1
Lisette Vizquel	SW	lisettevizquelg2,cardbackcrypt	Vampire	Lasombra	2	6	pro DOM POT			Sabbat bishop: Lisette gets +1 intercept during diablerie actions.	Sabbat:V, SW:PL, POD:DTC
Lithrac	BL	lithracg2,cardbackcrypt	Vampire	Samedi	2	5	for thn OBF			Camarilla: You get 2 additional votes in referendums to call blood hunts against Lithrac. Lithrac gets +1 stealth when taking an action to enter combat with another minion.	BL:U2
